Internal ID,Source,Source Link,Direct DMP Link,Public ID,Name,Date of Creation,Format,Template,Template Source,Language,License,License Link,Parts/Quesions according to template,Completeness (with relation to the template),Declarated access level,notes,Tool,Tool Link,Figures,Tables (beside first page of metadata),Lists
272,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139789,o:1139789,DESIR Data Management Plan,2025-05-31T18:26:29.312Z,PDF,unknown,unknown,en,All rights reserved,unknown,80,100,Public,Organized by work packages.,unknown,unknown,yes,yes,yes
297,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139865,o:1139865,RESIST Data Management Plan,2025-05-31T18:26:59.958Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,no,yes,yes
303,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139993,o:1139993,NATHenA Data management plan,2025-05-31T18:27:31.610Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,no,yes,yes
306,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1140002,o:1140002,PRECRIME Data Management Plan,2025-05-31T18:27:33.830Z,PDF,unknown,unknown,en,MIT,https://opensource.org/license/MIT,0,100,Public,,unknown,unknown,no,yes,yes
309,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1140011,o:1140011,NICI Data Management Plan,2025-05-31T18:27:36.132Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,yes,yes
333,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139882,o:1139882,REACH Data Management Plan,2025-05-31T18:27:04.495Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,no,yes,yes
334,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139884,o:1139884,CAPTAIN Data management plan,2025-05-31T18:27:04.971Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,50,Public,,unknown,unknown,no,yes,yes
335,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139886,o:1139886,SenSE Data Management Plan,2025-05-31T18:27:05.453Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,yes,yes
338,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139895,o:1139895,NEXTFOOD Data management plan,2025-05-31T18:27:07.540Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,yes,yes
339,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139897,o:1139897,VALITEST Data Management Plan,2025-05-31T18:27:08.018Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,yes,yes
341,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139905,o:1139905,RELACS Data Management Plan,2025-05-31T18:27:10.069Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,yes,yes,yes
351,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139974,o:1139974,BigDataStack Data Management Plan,2025-05-31T18:27:26.292Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,Primarily describes project and data-management practices.,unknown,unknown,yes,yes,yes
353,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:2140826,o:2140826,Data Management Plan (DMP),2025-08-25T12:26:58.685Z,PDF,unknown,unknown,en,unknown,unknown,0,0,Public,Primarily describes project and data-management practices.,unknown,unknown,,,
357,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139144,o:1139144,Residue2Heat Data Management plan - M12,2025-05-31T18:21:44.130Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,yes,yes
388,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139262,o:1139262,AgriDemo-F2F Data Management Plan,2025-05-31T18:22:35.911Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,yes,yes
405,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139322,o:1139322,OPRECOMP Initial data management plan,2025-05-31T18:23:03.044Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,yes,yes,yes
412,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139337,o:1139337,WeObserve WeObserve data management plan,2025-05-31T18:23:11.499Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,no,yes,yes
418,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139353,o:1139353,A-Patch Data Management Plan,2025-05-31T18:23:19.087Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,yes,yes,yes
431,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139411,o:1139411,OceanSET Project data management Plan,2025-05-31T18:23:43.177Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,yes,yes
443,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139472,o:1139472,MARINERGI Draft Data Management Plan,2025-05-31T18:24:11.272Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,yes,yes
